label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE
1011,77.693,188.65,40.565,-34.45023812,2.191853774,-35.16247868,6.527689994,20.38493292,-16.89649215,37.28546199,29.77834358,11.0065387,7
1011,68.479,199.47,49.899,-9.827260259,-0.801246001,-45.05664415,-20.7123863,28.33221007,-10.59001368,36.3602181,29.34237755,10.28099559,13
1011,68.619,193.38,40.994,40.2335094,8.495051119,-25.33820444,-11.5105632,-61.35398633,3.218585206,35.82922447,29.21488502,9.68382657,6
1011,59.078,193.79,43.612,32.56788908,37.82501123,0.814604441,-1.019331638,77.72974235,-0.049794694,35.0900342,28.9094054,9.044876905,12
1011,52.626,188.39,41.58,2.992018529,6.922243994,-45.47240853,-2.810834681,23.73889323,24.6172858,36.075155,30.02916856,8.845748538,13
1011,64.819,180.07,34.246,19.44392402,-33.48227587,25.02915202,2.418634593,-7.057078836,24.92019719,34.57203904,29.07578603,8.041342763,2
1011,59.452,183.75,40.614,-6.230162472,-14.48594073,47.42378337,12.72549872,22.74186666,-15.65080226,34.60081461,29.40060601,7.610013629,2
1011,56.875,165.94,29.166,-32.62656339,12.40439441,34.71428518,4.656903592,64.96995438,-17.0445165,34.96441437,30.01596519,7.245349987,14
1011,51.778,170.28,35.002,-25.7866099,-0.594008533,-41.62904034,13.55711927,-52.35964388,-4.331540839,35.78992763,31.04102528,6.959056345,10
1011,44.434,169.25,45.821,-8.575837016,-4.387013736,46.11251014,-18.62831338,-18.34555262,4.378419443,36.03200387,31.57231301,6.543259739,16
1011,46.679,177.3,36.909,-3.374204336,49.01534144,3.860055855,14.74938711,-53.47827419,15.80972288,34.76445277,30.77444054,5.86399346,4
1011,41.074,160.14,53.111,11.37165948,-12.65924281,43.69612355,-18.36340097,56.60563339,5.86755204,33.58788418,30.03784063,5.229064114,13
1011,39.084,159.71,40.197,32.37868767,-37.42062603,-6.782350496,21.03074776,-2.933630326,-0.224073557,35.47652597,32.05187316,5.059176689,10
1011,48.204,154.1,33.742,36.76854889,20.10395289,16.70154163,1.215130624,-4.232434876,21.95963182,34.90041738,31.85405024,4.517599998,8
1011,41.555,148.35,42.449,5.989495707,-45.2900828,8.819602209,-18.02897465,-47.04815886,-4.664300122,36.58550835,33.73344896,4.250748046,16
1012,224.71,160.22,63.763,10.91257683,-0.919949608,-47.6886942,-3.165486181,-10.97466614,20.31944293,34.9462854,32.5511734,3.593642301,14
1012,229.43,150.95,60.723,32.3095945,-15.50534005,-31.93804844,-11.38447338,-24.50332021,-16.89240063,33.29975638,31.33411871,2.976238807,2
1012,213.06,166.2,64.367,11.37130435,4.153667332,-46.89736127,-15.24641953,33.18433285,0.75022101,33.81217099,32.14086521,2.563397806,1
1012,206.7,152.97,54.584,39.1543702,-23.93174221,-8.380222527,-1.443066777,37.36296092,23.49825429,35.82821858,34.40452257,2.226179667,3
1012,199.66,173.9,64.687,0.375822978,4.234807329,46.52867004,-0.823083768,-11.73491566,-16.99475568,35.38888371,34.32900272,1.710605847,6
1012,192.17,180.98,59.52,12.43838582,-45.59461792,9.232985659,3.660058481,-46.43408031,-19.73947209,32.16206009,31.51670656,1.106851382,7
1012,195.21,159.22,57.357,32.97875691,12.00793393,-30.02785854,4.07542112,-24.05346508,-28.18988055,32.02378656,31.70088547,0.652044586,5
1012,186.91,165.65,58.581,5.868382026,-17.91273394,43.08819688,8.064827151,-27.04021516,-22.32893635,34.89435242,34.89435242,0.215322926,16
1013,93.908,170.92,55.453,-23.97277599,1.526452821,41.46765327,0.731719881,-5.900937494,20.37846423,33.26430447,33.60313034,-0.271535027,2
1013,99.227,161.06,54.985,-4.430173489,-3.611395653,-49.41672307,-4.691241168,11.37502026,-22.38064261,34.10918184,34.80762033,-0.772436627,2
1013,80.407,169.26,50.155,24.00123815,37.56104667,-16.2144721,20.26628543,6.922570616,-20.69194368,32.51697144,33.52090739,-1.212390242,4
1013,83.995,157.23,53.175,-1.800970988,-5.545550945,46.77101105,-7.592716168,62.19172976,11.49607107,32.75847353,34.11405428,-1.706259442,3
1013,69.008,162.84,38.016,-21.7798058,-23.00867536,35.76537876,-1.407444332,-74.77180821,-7.437523454,31.51000839,33.14850999,-2.112945894,6
1013,72.846,150.59,47.851,2.287295983,-26.65788775,40.77078071,9.73528361,27.49962441,18.71713911,31.84169989,33.8391789,-2.617471294,3
1013,58.329,152.98,30.007,-2.789632838,-8.152528438,-45.80132827,22.06949695,-11.02404139,4.868788357,31.45922243,33.77398879,-3.06828007,4
